2018-07-24 14:15:26,480 [Worker-7] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-07-24 14:16:02,749 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/maven/archetypes/maven-archetype-webapp/1.0/maven-archetype-webapp-1.0.jar
2018-07-24 14:16:02,783 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/maven/archetypes/maven-archetype-webapp/1.0/maven-archetype-webapp-1.0.jar
2018-07-24 14:16:02,793 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/maven/archetypes/maven-archetype-webapp/1.0/maven-archetype-webapp-1.0.pom
2018-07-24 14:16:02,800 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/maven/archetypes/maven-archetype-webapp/1.0/maven-archetype-webapp-1.0.pom
2018-07-24 14:16:18,959 [Worker-5] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' C:\Users\Arkias\Desktop\Project 1 - ERS\ERSK\ERSK\pom.xml
2018-07-24 14:16:19,840 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.revature:ERSK:0.0.1-SNAPSHOT @ C:\Users\Arkias\Desktop\Project 1 - ERS\ERSK\ERSK\pom.xml.
2018-07-24 14:16:20,941 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ERSK/src/main/java
2018-07-24 14:16:20,942 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ERSK/src/main/resources
2018-07-24 14:16:20,943 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ERSK/src/test/java
2018-07-24 14:16:23,538 [Worker-5] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 4 sec
2018-07-24 14:16:24,569 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-24 14:16:24,611 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-24 14:16:24,615 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-24 14:16:24,616 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Arkias\Desktop\Project 1 - ERS\ERSK\ERSK\src\test\resources
2018-07-24 14:16:27,244 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-24 14:16:27,247 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-24 14:16:27,249 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-24 14:16:27,249 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Arkias\Desktop\Project 1 - ERS\ERSK\ERSK\src\test\resources
2018-07-24 15:14:01,014 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-24 15:14:01,018 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-07-24 15:14:01,043 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-24 15:14:01,044 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Arkias\Desktop\Project 1 - ERS\ERSK\ERSK\src\test\resources
2018-07-24 15:14:02,287 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-24 15:14:02,288 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-24 15:14:02,290 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-24 15:14:02,291 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Arkias\Desktop\Project 1 - ERS\ERSK\ERSK\src\test\resources
2018-07-24 15:19:40,257 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-24 15:19:40,258 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-07-24 15:19:40,261 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-24 15:19:40,262 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Arkias\Desktop\Project 1 - ERS\ERSK\ERSK\src\test\resources
2018-07-24 15:22:04,342 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-24 15:22:04,343 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-07-24 15:22:04,348 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-24 15:22:04,349 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Arkias\Desktop\Project 1 - ERS\ERSK\ERSK\src\test\resources
2018-07-24 15:26:52,744 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-24 15:26:52,746 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-07-24 15:26:52,751 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-24 15:26:52,752 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Arkias\Desktop\Project 1 - ERS\ERSK\ERSK\src\test\resources
2018-07-24 15:27:44,631 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-24 15:27:44,632 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-07-24 15:27:44,635 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-24 15:27:44,636 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Arkias\Desktop\Project 1 - ERS\ERSK\ERSK\src\test\resources
2018-07-24 15:28:16,857 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-24 15:28:16,858 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-24 15:28:16,860 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-24 15:28:16,861 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Arkias\Desktop\Project 1 - ERS\ERSK\ERSK\src\test\resources
2018-07-24 15:28:28,335 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-24 15:28:28,336 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-24 15:28:28,340 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-24 15:28:28,341 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Arkias\Desktop\Project 1 - ERS\ERSK\ERSK\src\test\resources
